symbol,calendarYear,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,debtToEquity,currentRatio,interestCoverage,workingCapital,roic,roe,dividendYield,payoutRatio,peRatio,priceToSalesRatio,pbRatio,evToSales,marketCap,debtToAssets,incomeQuality,enterpriseValueOverEBITDA,earningsYield,freeCashFlowYield,capexToRevenue,researchAndDdevelopementToRevenue
NEE,2019,9.96058091286307,1.954875518672199,4.229771784232365,-1.515560165975103,0.311203319502074,19.193464730290458,1.150736386974733,0.5347578141918711,2.380168963983993,-6445000000,0.05940383119048501,0.10185110120254001,0.020630370921732002,0.6388962589546291,30.968723799416292,6.07795875859196,3.154198621807863,8.264117892105812,116721120000.0,0.361820360095504,2.40702479338843,16.02424474959612,0.032290642858807,-0.025034029831105004,0.576806915225994,0.0
NEE,2020,9.186830015313936,1.490045941807044,4.075038284839204,0.11434405308831001,0.5640632976008161,18.638591117917304,1.317092542382165,0.47448258130865106,1.899487179487179,-8176000000,0.042982118805785,0.079944129488127,0.018149114527661003,0.939705378554299,51.77692702980473,8.397891315219203,4.13926135896804,11.008659776629438,151136850000.0,0.376640769399454,3.369776276910088,24.706677890011225,0.019313622058419,0.001482100493691,0.43112741012390904,0.0
NEE,2021,8.697579617834394,1.4405095541401272,3.848662420382165,-0.14114649681528602,0.32560509554140105,18.95643312101911,1.473764851352077,0.532660434707805,3.062204724409449,-8149000000,0.037626629675017,0.07599053814311,0.016504838471992002,1.069685178634595,64.8103997170145,10.734020739352042,4.924977151766035,13.90866483098014,183219000000.0,0.38908680594981204,2.6717368234877963,29.305888161955313,0.015429622473651,-0.001511851936753,0.45872634600738105,0.0
NEE,2022,10.623542532697963,1.645543952144378,4.188380817195579,-0.7502788198316941,0.81161918280442,19.88695123187671,1.65607076397563,0.505338078291815,6.976068376068376,-13205000000,0.033177429183938005,0.082744908103698,0.020326317438864,1.032655576093653,50.80386937769562,7.869314754724184,4.203761502969741,10.893031112807789,164909360000.0,0.40875829741718306,2.545286506469501,25.49412106321197,0.019683540097420002,-0.008974627031479,0.464878793662912,0.0
NEE,2023,13.87591925373871,3.607916687231627,5.577710873105967,0.865209022259513,1.327673856176891,23.428261191451558,1.542323249346928,0.5493330472409971,3.079723225030084,-12602000000,0.073119054787769,0.153998483188674,0.030731648724351003,0.5173734610123111,16.835200273597813,4.377367646012662,2.59259530631162,6.885762040264638,123065314000.0,0.41248190028677806,1.798949379178605,12.165293407905486,0.05939935276970001,0.014244468591694,0.339617272533257,0.0
FSLR,2019,29.086667932769917,-1.088681036938562,1.654173392840186,-4.695812363498243,20.55120121545912,48.39774950147184,0.09254827619155401,2.730854311307472,2.297014704795685,2281626000,0.010655524839024001,-0.022494455799136,0.0,0.0,-51.40164850979947,1.9239054858172242,1.156252110406459,1.636275597699989,5893147600.0,0.062761644341589,-1.515674349403565,18.726615006389036,-0.019454628966021,-0.083913730584314,0.21831258812510201,0.031540094616039
FSLR,2020,25.610738001454656,3.7627872708209362,0.350628618927522,-3.584828133412678,16.502479526197966,52.14965947840214,0.050576823316659004,3.5574015987764893,3.960351139956731,2167137000,0.022417749224097002,0.07215363069397,0.0,0.0,26.289022705877922,3.8624423862514803,1.896848435625315,3.512883202794788,10472363640.0,0.039278901426951,0.0931832159757,29.02812615050775,0.038038690566325,-0.036239669767617,0.153664324398487,0.034572674980415004
FSLR,2021,27.510770446910026,4.410688574574405,2.235575882480261,-2.8488937824077993,17.184184523305383,56.08302984105474,0.040254878261801005,4.390341983111334,14.19546807049668,2464365000,0.0245849410515,0.078645689918586,0.0,0.0,19.76108685216122,3.16821370627189,1.554124309029321,2.754051249633557,9261883080.0,0.032358945127065004,0.506854166800016,18.05348031213562,0.050604504068086004,-0.032685793740337005,0.18481742176941202,0.033904282615618
FSLR,2022,24.582772569004515,-0.414505729650589,8.196722696173664,-0.283770213325074,24.194808120055185,54.7724094565044,0.033163155590548,3.652452487746231,-17.691124744376282,2753373000,0.18424964245812903,-0.007567783374214001,0.0,0.0,-361.37015554951773,6.093291534937134,2.734771055104861,5.60166489457756,15960274290.0,0.023456144951999002,-19.77469093873115,274.5097715622077,-0.002767245674948,-0.0018944536572870002,0.34497707228481905,0.043066155745061
FSLR,2023,31.074507233484713,7.7791750550119385,5.639402593754389,-7.345989980804345,19.687148274731964,62.61968256940868,0.09336701224334601,3.5484290568216093,66.1215580408793,3328651000,0.109283169362673,0.124228912313462,0.0,0.0,22.14630713175738,5.544094350572922,2.751211646738101,5.145551530433599,18398642600.0,0.060239367911571,0.724935813100266,13.525692184248735,0.045154255020965005,-0.042639830397053005,0.4178792756709,0.045894928045002004
ENPH,2019,5.349301277492652,1.380720228252208,1.1915296496534231,1.064825683514261,2.154078808701687,2.332319450275462,0.38772353900636203,2.506921344030184,10.600454029511917,300346000,0.48631256571728804,0.591994474894567,0.0,0.0,18.924905614714422,4.884750109316663,11.203439561812118,4.651115174113814,3049710690.0,0.14798036518732502,0.8629768908084491,23.80981215152509,0.05284042205328,0.040751078588375005,0.023686077782209002,0.06467862502863
ENPH,2020,6.167719275889807,1.067170538622661,1.7229394477584599,1.55921026433367,5.410748560460653,3.85464435612969,0.683615258898372,1.747170171690294,8.877624875005951,399021000,0.256745432291937,0.276853177628602,0.0,0.0,164.42545371095935,28.44973841237047,45.52170934290372,27.999709035736192,22032188670.0,0.27569739905441304,1.6144930780999291,107.35342735068124,0.006081783430915,0.008885907929182,0.026546147141427,0.072209703973916
