symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
ENPH,2019-12-31,2019,FY,5.349301277492652,1.380720228252208,1.1915296496534231,1.064825683514261,2.154078808701687,2.332319450275462,1.8579764036568331,2.332319450275462,0.9873278897809151,3049710690.0,2903844690.0,18.924905614714422,4.884750109316663,21.929794199918025,24.539227785868892,11.203439561812118,11.203439561812118,4.651115174113814,23.80981215152509,20.880904096586537,23.36552989644268,0.05284042205328,0.040751078588375005,0.38772353900636203,0.14798036518732502,-1.196015086913742,2.506921344030184,10.600454029511917,0.8629768908084491,0.0,0.0,0.06215913623018401,0.06467862502863,0.077622286437762,0.10633723313223101,0.023686077782209002,1.047382959133083,0.032316087728824,8.512127494591557,0.48631256571728804,0.24495752142169802,-0.552759761123439,300346000,216850000,58646000,394761000,112175500,53134000.0,24161500,85.01191671752093,52.043251101496445,29.027011471440478,4.29351571042479,7.013397362285555,12.574494634389819,0.591994474894567,0.12670396613916102
ENPH,2020-12-31,2020,FY,6.167719275889807,1.067170538622661,1.7229394477584599,1.55921026433367,5.410748560460653,3.85464435612969,3.427831890475545,3.85464435612969,2.802351048494357,22032188670.0,21683674670.0,164.42545371095935,28.44973841237047,101.84339341018979,112.5377404278359,45.52170934290372,45.52170934290372,27.999709035736192,107.35342735068124,100.23239375225346,110.75757329805492,0.006081783430915,0.008885907929182,0.683615258898372,0.27569739905441304,-1.725453501267427,1.747170171690294,8.877624875005951,1.6144930780999291,0.0,0.0,0.065460180133647,0.072209703973916,0.044655370960135006,0.095028982961531,0.026546147141427,1.193497822931785,0.054883300513284,9.620559500825241,0.256745432291937,0.11687197070067301,0.9618890419795951,399021000,430402000,216955000,513280000,163789000,65041500.0,36910000,85.85753946476419,61.85705716499706,35.5795856634706,4.251228282051985,5.900701015025685,10.258691696197682,0.276853177628602,0.163729183424789
ENPH,2021-12-31,2021,FY,10.311874650251818,1.08523782876329,2.626584592426786,2.234806939003917,7.585532549897407,3.209610147360567,1.127819436672262,3.209610147360567,8.07907479947771,24518533500.0,25436863500.0,168.57134459501268,17.74071215998854,69.64938442396627,81.85942007211538,56.99757652824013,56.99757652824013,18.405182088334058,102.17002924094054,72.2580689604236,84.92542568108975,0.005932206345049,0.012216065043204001,2.412187796395827,0.49904677442315903,3.688575950129736,3.325316737760234,4.780120481927711,2.420284773356984,0.0,0.0,0.075315708777329,0.076354745743457,0.13418838276768202,0.14915858965764,0.037992864218273005,1.6186688862172072,0.08269316066217601,8.852783902180693,0.176859616479653,0.080794047917948,-2.57427718709196,1022665000,151156000,-186627000,1398264000,257895500,93188000.0,58082000,88.11083398634925,50.173514155531414,32.81188264761783,4.142509876328583,7.274754542178312,11.1240188172043,0.33812138513325,0.391777653422868
ENPH,2022-12-31,2022,FY,17.22105815336648,2.9358325514041472,5.5029368521378075,5.15980169783301,11.916179654079453,6.099586993623891,3.7863079889766453,6.099586993623891,9.603284841409984,35862071040.0,36679184040.0,90.25037884850589,15.385814137571096,48.148835270945746,51.35081065446308,43.43900665356061,43.43900665356061,15.736378072748474,70.1220932331057,49.24590072460752,52.52083273432287,0.011080285897509002,0.019473889258125,1.5629835278043251,0.418365712581218,1.562130550818619,3.547796289361489,47.495337995338,1.874404195670446,0.0,0.0,0.06006470592525501,0.07243957469647301,0.10151477816540601,0.062354914025861005,0.019925323475997,0.7901829008932371,0.093014016756955,20.072761046628678,0.186222194533523,0.14339090207059801,-1.7756909914369512,1626052000,512473000,5564000,2071898000,387261000,119426000.0,112054000,69.04212320553891,33.663230004910574,40.28984160830757,5.286627685440558,10.842690970140305,9.059355545461832,0.48131661282527405,0.343135154304797
ENPH,2023-12-31,2023,FY,16.79757435325864,3.21857218278876,5.109256760720362,4.299722825130521,12.429122426233356,7.212588725288907,5.136724936939051,7.212588725288907,9.58964187247023,18020724640.0,19030934640.0,41.05547195946561,7.866612001295625,25.862861505783744,30.732213534250032,18.320745162785776,18.320745162785776,8.307600378210797,31.077509740842956,27.312687849823472,32.45500715407612,0.024357289108436,0.032539146550102004,1.320583881645832,0.38396494011845,1.6496725835687571,4.58920572674566,50.42889467134291,1.5874296024933021,0.0,0.0,0.06016930433484401,0.09923930039733,0.08368223346532601,0.158444559258302,0.048193502142932006,1.477766771965519,0.09291876238112101,22.854328743916135,0.167040727582555,0.141596186216778,-1.929131592068985,1911069000,700526000,44130000,2382298000,443427500,120624500.0,181651500,71.05641251518038,34.404356384869175,63.260549757464716,5.136763693523395,10.609121586722221,5.76978861864744,0.446243686611957,0.8095339355898391
BEPC,2019-12-31,2019,FY,8.913644050015357,0.455905538825955,3.746714609987856,2.624910678088837,0.953257035726998,20.30299332904924,46.09895763498333,20.30299332904924,35.93088258722867,10336351719.119999,22335351719.12,62.64455587345454,3.2040767883199,7.622678258938053,10.88037023065263,1.406689128894937,1.406689128894937,6.923543620309981,11.40722764,16.4714983179351,23.510896546442105,0.015963079090544,0.091908637187984,1.674333151878062,0.34407248930279305,6.128192032686415,0.957162921348314,1.3908701854493581,6.39622641509434,0.08061757568278101,5.050252224242424,0.033787972721636,0.0,0.033280196884526006,0.299410029498525,0.125852448853068,0.41302136317395705,0.0,14.431408803469244,0.037700891305977,0.0047733387334740005,-46.68749023964956,-61000000,16684000000,-16520000000,33776000000,654000000,89000000.0,153500000,81.4631122132672,40.902184235517566,70.01899335232669,4.480555555555555,8.923728813559322,5.212871287128713,0.022455089820359,1.121803931899019
BEPC,2020-12-31,2020,FY,8.532796268208779,-7.792015769381454,2.741993488196666,1.710981823784008,0.9812577503123151,3.253353160894633,29.083926897989233,3.253353160894633,40.228803656466006,21080954513.14,33547954513.14,-7.478167617289819,6.828945420518302,21.250962210826614,34.05646932655897,17.910751497994905,17.910751497994905,10.86749417335277,-30.91977374482949,33.818502533407255,54.19701859957997,-0.133722597724068,0.029362996804256,11.672047578589634,0.34803536594634304,-11.490322580645161,0.501213592233009,-2.634803921568627,-0.351897836112096,0.014952158442518002,-0.11181474707343,0.049238743116294004,0.0,0.024573759278494003,0.376008064516129,0.12082928409459001,0.350234741784037,0.0,23.882609373638477,-0.140511538645222,-0.073215074150066,-72.99797533080424,-1644000000,10755000000,-26096000000,35423000000,1008500000,1707000000.0,112000000,153.35438937479753,1133.8737040527803,7.568331762488219,2.380107941403238,0.32190533980582503,48.22727272727273,-2.395072217502124,1.031011664412657
BEPC,2021-12-31,2021,FY,9.30615633861172,2.614678911887938,1.091752822617056,-2.650610017442423,1.133211790564539,10.135335697561384,36.36780668353223,10.135335697561384,43.916102781170665,13325223162.81,26427223162.809998,14.08585958013742,3.957595236949807,33.734742184329114,-13.894914664035452,3.633821424273247,3.633821424273247,7.848893128247697,8.639170697224582,66.90436243749366,-27.557062734942647,0.070993182511212,-0.071968775928385,4.087537496591219,0.35699995236507404,4.28309905197777,0.7716894977168951,2.16,0.42473118279569805,0.0,0.0,0.051975051975051006,0.0,0.020221026056304003,3.427848101265823,0.402138402138402,1.214349775784753,0.0,24.418529676245303,0.09528833163830601,0.022996329338551003,-71.51395577821195,-700000000,13376000000,-25395000000,38064000000,1626500000,3181000000.0,21000000,212.04039204039205,944.3797468354431,6.160337552742616,1.721370143149284,0.38649706457925603,59.25,0.257976547586583,3.7423628400594797
BEPC,2022-12-31,2022,FY,10.441706199888534,4.154019168457508,3.548742922354917,1.207788673729827,1.774371461177458,16.231905905755784,40.948734530849265,16.231905905755784,44.696472383429686,9964474963.02,24462474963.02,6.629723860958084,2.637499990211752,7.760494519485981,22.802002203707094,1.696658430618082,1.696658430618082,6.474980138438327,5.758586384891714,19.05177177805296,55.97820357670481,0.150835844896786,0.043855797884162,2.577898859186106,0.349750508223988,3.412900188323917,1.061879549966909,2.9738372093023253,0.6940540540540541,0.010190659555756001,0.067561258815701,0.044732662784542,0.0,0.041581962668637,0.659657320872274,0.22419269454737903,0.718405428329092,0.0,38.95025142595274,0.13729523419300202,0.036227342846124,-66.0214047846446,187000000,15024000000,-23255000000,39815000000,2261500000,3044000000.0,19000000,248.00291159343567,939.5485519591141,5.596252129471891,1.471756914686404,0.38848444738583704,65.22222222222223,0.255916907883534,2.340954248625089
BEPC,2023-12-31,2023,FY,10.603760394949578,-0.48381160360117803,4.284806632998279,1.5369705639263942,2.11700988979079,15.468606353812254,43.48423849383407,15.468606353812254,46.405819061436766,10770700746.35,26551700746.35,-59.506633957734806,2.715074551638518,6.719089673331254,18.731653471913045,1.8611890005788831,1.8611890005788831,6.693143621464582,11.003605779672606,16.563755924111042,46.17687086321739,-0.016804849030954,0.05338557012596001,2.782616208743736,0.325833147852127,6.5399917115623705,0.39568086382723405,0.8513513513513511,-8.856353591160222,0.0,0.0,0.022183009831106,0.0,0.017421743793124,0.641297567061759,0.259137887572472,0.7660208643815201,0.0,12.976422967214377,0.039744880044062,-0.0037273476112020002,-79.95855472002123,-5037000000,16268000000,-28994000000,39862000000,2319500000,1603000000.0,41500000,190.64280312578774,23.91737891737892,8.449074074074074,1.9145752895752892,15.26086956521739,43.2,-0.031277000172801,2.747836069071884
